Body name,Body,"Request ref","Request summary","Receipt date","Complete date","Derived working days","Outcome","Service area"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102938","I would like to know the 'official handover date' from Thomas Sinden to yourselves for 'Ray Park Visitors Centre'",03/11/2010 00:00:00,03/11/2010 00:00:00,0,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102942","Information regarding rail travel",04/11/2010 00:00:00,,0,"","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102941","Information re newly qualified teachers",04/11/2010 00:00:00,18/11/2010 00:00:00,10,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102943","Information on any zoos, wildlife parks, animal sanctuaries or similar such establishments licensed under the Zoo Licensing Act by your authority",05/11/2010 00:00:00,15/11/2010 00:00:00,6,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102944","The number of Penalty Charge Notices issued during 2009 using the Council's CCTV cameras at each of the listed locations:",05/11/2010 00:00:00,24/11/2010 00:00:00,13,"Refused","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102945","The number of Penalty Charge Notices issued each month between July 2009 and December 2009 inclusive, using the Council's CCTV cameras at each of the listed locations:",05/11/2010 00:00:00,24/11/2010 00:00:00,13,"Refused","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102946","Please provide me with a copy of the relevant traffic order of the      Borough of Redbridge which legislates that "All designated bays      within the Borough are free for motor cycle parking for an      unlimited period."",05/11/2010 00:00:00,25/11/2010 00:00:00,14,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-103000","I am currently undertaking a research project and would be grateful if you could provide me with some of the information that is contained in the public registers that you maintain in accordance with section 8(1) of the Licensing Act 2003.",06/11/2010 00:00:00,23/11/2010 00:00:00,11,"Information already available elsewhere","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102949","Information regarrding OGC common minimum standards for the procurement of works in the built environment by local authorities in England.",08/11/2010 00:00:00,03/12/2010 00:00:00,19,"Information Provided","Property & Building Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102951","To ask (i) how many households are exempt from council tax on the grounds of being occupied by students, and (ii) for a ward-by-ward breakdown of this information.",09/11/2010 00:00:00,12/11/2010 00:00:00,3,"Partial Information Provided","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102952","information regarding housing benefit 2008/9 to date.",09/11/2010 00:00:00,12/11/2010 00:00:00,3,"Refused","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102975","Background information in relation to a statement to the Somali Community.",09/11/2010 00:00:00,07/12/2010 00:00:00,20,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102950","What organisations or charities or private companies provide supported ccommodation for 16+ young adults leaving care for Redbridge Council.         Date from: : 01/01/2009         Date to: : 09/11/2010",09/11/2010 00:00:00,07/12/2010 00:00:00,20,"Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102953","Information regarding Housing stock and its management.",09/11/2010 00:00:00,16/11/2010 00:00:00,5,"Information Provided","Redbridge Homes (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102954","Information on external consultants 2009/10 to date.",09/11/2010 00:00:00,16/11/2010 00:00:00,5,"Partial Information Provided","Financial Services (Finance and Resources)"
